"","mlp","xgbLinear","svmLinear","svmRadial","glmnet","C5.0","lda","rf","AdaBoost.M1","LogitBoost","gaussprPoly","treebag","knn"
"GO:0015031",0.7379492,0.8889239,0.8422327,0.8546001,0.5,0.51179,0.8604603,0.8923035,0.8324084,0.7131495,0.9183244,0.7556453,0.7487582
"GO:0031325",0.8670042,0.8536653,0.8117797,0.8482666,0.5,0.635332,0.8545108,0.8734656,0.8861992,0.7688496,0.8742404,0.6960212,0.7156988
"GO:0045176",0.7622408,0.7334513,0.914741,0.9197603,0.5,0.5,0.9374845,0.8332304,0.7407889,0.7982214,0.9261798,0.6470142,0.6998093
"GO:1901565",0.6647736,0.7940965,0.7773699,0.8029776,0.5,0.5643165,0.770526,0.8604876,0.7889716,0.7211789,0.8638109,0.6885404,0.6951635
"GO:0009792",0.8712704,0.8589845,0.7893117,0.8553036,0.5,0.6312848,0.8378089,0.8744612,0.8781252,0.7263378,0.8745043,0.7220421,0.7089196
"GO:1901046",0.753273,0.8276631,0.7558775,0.7787701,0.5,0.4990778,0.7169429,0.8059976,0.7718494,0.6857422,0.8230212,0.658798,0.6645311
"GO:1903507",0.7222513,0.8406985,0.7563083,0.8119535,0.5,0.5497905,0.8461672,0.8364815,0.8278304,0.6703071,0.8767023,0.6004235,0.6185724
"GO:0048814",0.6793616,0.833578,0.7190603,0.7134057,0.5,0.5,0.8976495,0.8148668,0.8405655,0.6951085,0.8516592,0.5975225,0.6493648
"GO:0048489",0.7707667,0.85622,0.9174748,0.9423751,0.5,0.5254135,0.9579951,0.892046,0.8726039,0.6948196,0.9070932,0.5944702,0.5728552
"GO:0006508",0.799959,0.8327473,0.8340198,0.850482,0.5,0.5332175,0.7792534,0.8620949,0.8058318,0.7141905,0.8887822,0.6794387,0.673625
