,mlp,xgbLinear,svmLinear,svmRadial,glmnet,C5.0,lda,AdaBoost.M1,treebag,knn
GO:0005929,0.7615068,0.8223063,0.5965027,0.6994689,0.5,0.524641,0.8024849,0.8019109,0.7248938,0.7405841
GO:0030424,0.7953281,0.8195723,0.6051866,0.7051844,0.5,0.5,0.8361248,0.818168,0.6766671,0.636797
GO:0043226,0.7715152,0.8206301,0.6265929,0.6310936,0.5,0.6914732,0.7566359,0.834701,0.7972838,0.7621432
GO:0098687,0.1246561,0.722141,0.4110213,0.456544,0.5,0.5,0.7960291,0.6855464,0.5705684,0.5719819
GO:0005829,0.6636738,0.7055807,0.4908777,0.4880079,0.5,0.5,0.7225337,0.604005,0.5238333,0.5048988
GO:0098562,0.664478,0.6873454,0.4297064,0.4218147,0.5,0.5,0.8527369,0.7528243,0.5701866,0.5970133
GO:0098802,0.5768907,0.5551475,0.7898993,0.7237045,0.5,0.5,0.8336143,0.5326567,0.4963789,0.4975858
GO:0044422,0.7678226,0.8485924,0.5133528,0.6737386,0.5,0.6241372,0.7793384,0.8466179,0.8115474,0.7693984
GO:0043234,0.8073746,0.8411361,0.5156469,0.7096585,0.5,0.5152653,0.7912575,0.8114279,0.7127478,0.7033877
GO:0000932,0.3558542,0.6774754,0.555414,0.6168009,0.5,0.5,0.8937028,0.5392291,0.4937098,0.5229031
mean,0.62891001,0.74999272,0.55342006,0.6126016,0.5,0.53555167,0.80644583,0.72270872,0.63778169,0.63066933
