	AUROC	AUPRC
0	0.7070911999999999	0.16265120000000002
1	0.8133182	0.1664086
2	0.5315014	0.0058382
3	0.6545972	0.06616280000000001
4	0.5586810000000001	0.01711
5	0.8145376	0.12170299999999999
6	0.7148821999999999	0.1025766
7	0.6643578	0.037463199999999995
8	0.7225202	0.1450144
9	0.7538418	0.1854622
10	0.7865806	0.1959898
11	0.6573104000000001	0.0691466
12	0.6369988	0.1139498
13	0.5815491999999999	0.0843042
14	0.5815491999999999	0.0843042
15	0.5802006	0.0424332
16	0.5652902	0.134385
17	0.7672892	0.1744608
18	0.6623100000000001	0.0861178
19	0.6307272	0.0645302
20	0.672009	0.1643832
21	0.6071152	0.184857
22	0.5668251999999999	0.0109682
23	0.6989304000000001	0.3441528
24	0.5963885999999999	0.024579
25	0.49876099999999995	0.000752
26	0.6879036000000001	0.1452446
27	0.6529845999999999	0.072372
28	0.6820861999999999	0.1887012
29	0.7300979999999999	0.0271324
30	0.703983	0.1034896
31	0.5455798000000001	0.0086848
32	0.6638076	0.015069200000000001
33	0.6820861999999999	0.1887012
34	0.6317076	0.1171002
35	0.5834876	0.0619634
36	0.6455574000000001	0.055243600000000004
37	0.562492	0.03216
38	0.6532428000000001	0.066122
39	0.4986656	0.0008767999999999998
40	0.6264574	0.0231322
41	0.6645300000000001	0.1101846
42	0.6552218000000001	0.10593399999999999
43	0.5947005999999999	0.027563
44	0.4976482	0.0011818
45	0.5314691999999999	0.0078948
46	0.5310986	0.0089704
47	0.49831679999999995	0.0006872000000000001
48	0.6348538	0.07082619999999999
49	0.6733656	0.11536300000000001
50	0.6179518	0.0438432
51	0.5489996	0.025771600000000002
52	0.5732916	0.0224384
53	0.598952	0.015341
54	0.4988246	0.0008782
55	0.628211	0.095124
56	0.7321045999999999	0.1851556
57	0.7332388000000001	0.12212
58	0.7570558000000001	0.12389380000000001
59	0.8323485999999999	0.27548720000000004
60	0.6993964	0.16447279999999997
61	0.6808810000000001	0.0822636
62	0.7965188	0.23976639999999996
63	0.5982848000000001	0.037498800000000006
64	0.5652902	0.134385
65	0.5988406	0.073408
66	0.638629	0.049804400000000006
67	0.5485072	0.007569800000000001
68	0.7370804	0.0914344
69	0.6318186	0.0935678
70	0.7417278	0.1623316
71	0.7222225999999999	0.154833
72	0.6325284000000001	0.12408879999999999
73	0.544149	0.0064702
74	0.6586201999999999	0.20553939999999998
75	0.6486254	0.1625418
76	0.7820204000000001	0.1752652
77	0.6587812	0.11071960000000002
78	0.6495211999999999	0.0579596
79	0.7413858	0.1180732
80	0.7665778	0.19525220000000001
81	0.6150786	0.15918120000000002
82	0.4987294	0.0008150000000000001
83	0.6981042	0.0839384
84	0.6817528	0.09382599999999999
85	0.6887861999999999	0.0706914
86	0.5956444000000001	0.0121022
87	0.7033581999999999	0.13686679999999998
88	0.6156026	0.17699600000000001
89	0.683952	0.181027
90	0.5988244	0.2013748
91	0.6994918000000001	0.207405
92	0.8071338	0.2671768
93	0.7236256	0.23246399999999998
94	0.7135852	0.10751860000000002
