class, time
GO:0015031,14.805
GO:0031325,11.55
GO:0045176,30.852
GO:1901565,12.324
GO:0009792,12.581
GO:1901046,22.732
GO:1903507,11.021
GO:0048814,19.017
GO:0048489,18.69
GO:0006508,11.228
