"","mlp","xgbLinear","svmLinear","svmRadial","glmnet","C5.0","lda","AdaBoost.M1","treebag","knn"
"GO:0005929",0.0705774,0.3803474,0.429743,0.4407167,0.0050784,0.1088576,0.4000304,0.397159,0.1765751,0.333714
"GO:0030424",0.0443964,0.1138877,0.1505806,0.1142119,0.0066657,0.0200817,0.1672645,0.0856877,0.0521101,0.0911999
"GO:0043226",0.4229839,0.3213699,0.4262516,0.4218361,0.0631665,0.169633,0.440494,0.3777914,0.293552,0.2882715
"GO:0098687",0.0015786,0.1742028,0.0916776,0.0740849,0.0008252,0.0008252,0.1727964,0.0648052,0.0202462,0.0797546
"GO:0005829",0.0332587,0.0137231,0.0079574,0.0082829,0.003555,0.0067968,0.013882,0.0106999,0.0065562,0.0134781
"GO:0098562",0.0642731,0.0816183,0.0866402,0.0718632,0.0008886,0.0008886,0.0823406,0.0546661,0.0509167,0.0347773
"GO:0098802",0.0012067,0.043337,0.2423493,0.2479524,0.0005715,0.0005715,0.1955953,0.024762,0.0504954,0.0587094
"GO:0044422",0.4968633,0.4111682,0.4644991,0.4683193,0.0373286,0.1731155,0.5051213,0.3763651,0.3488684,0.3602996
"GO:0043234",0.1644613,0.1909854,0.2790204,0.3000423,0.0127598,0.0968971,0.3041474,0.2569561,0.1291131,0.2463643
"GO:0000932",0.0010462,0.3472478,0.4411939,0.4300376,0.0008252,0.0008252,0.4158042,0.237924,0.046069,0.1016484
