,mlp,xgbLinear,svmLinear,svmRadial,glmnet,C5.0,lda,AdaBoost.M1,treebag,knn
GO:0005929,0.855728,0.8980428,0.9412478,0.9373318,0.5,0.6498452,0.9594669,0.9027799,0.7492277,0.8442609
GO:0030424,0.8192111,0.8431396,0.7959494,0.8116553,0.5,0.519209,0.8344398,0.8722928,0.663395,0.6823127
GO:0043226,0.836616,0.8537253,0.8419146,0.8530608,0.5,0.7062238,0.8598764,0.8778854,0.8160659,0.7468142
GO:0098687,0.4620684,0.7537485,0.7206479,0.5651524,0.5,0.5,0.8801143,0.7301777,0.5713465,0.6483956
GO:0005829,0.7128083,0.6926602,0.5120405,0.5463771,0.5,0.5254428,0.6818733,0.674968,0.5525151,0.5436864
GO:0098562,0.7861172,0.601561,0.6185226,0.6039706,0.5,0.5,0.6003244,0.5945166,0.5197419,0.5734591
GO:0098802,0.4811254,0.869759,0.9353877,0.9365947,0.5,0.5,0.9437107,0.7298629,0.5475541,0.6487929
GO:0044422,0.8693052,0.8806531,0.867695,0.8758316,0.5,0.6444065,0.876094,0.8799445,0.8109435,0.7829424
GO:0043234,0.8739192,0.8894912,0.847273,0.8577894,0.5,0.6266581,0.8585997,0.9265517,0.7618339,0.7771928
GO:0000932,0.3201403,0.8887223,0.9945043,0.9918359,0.5,0.5,0.9983321,0.8914231,0.6469025,0.6993011
mean,0.70170391,0.8171503,0.80751828,0.79795996,0.5,0.56717854,0.84928316,0.80804026,0.66395261,0.69471581
