class, time
GO:0015031,67.913
GO:0031325,61.621
GO:0045176,61.602
GO:1901565,59.101
GO:0009792,61.084
GO:1901046,61.478
GO:1903507,61.015
GO:0048814,61.631
GO:0048489,61.466
GO:0006508,61.376
