ontology,class,algorithm,selection_type,auroc,auprc,time_sec
BP,GO:0006812,naive_bayes,PCA,0.7133,0.0218,8.912
BP,GO:0006813,naive_bayes,PCA,0.8217,0.3789,8.465
BP,GO:0006816,naive_bayes,PCA,0.7014,0.0145,8.598
BP,GO:0006820,naive_bayes,PCA,0.6167,0.0086,8.298
BP,GO:0006836,naive_bayes,PCA,0.6687,0.0046,8.21
BP,GO:0006839,naive_bayes,PCA,0.7659,0.0116,8.793
BP,GO:0006869,naive_bayes,PCA,0.6716,0.0059,8.366
BP,GO:0006873,naive_bayes,PCA,0.7342,0.0084,8.386
BP,GO:0006874,naive_bayes,PCA,0.6588,0.0394,8.688
BP,GO:0006875,naive_bayes,PCA,0.6514,0.0206,8.64
BP,GO:0006886,naive_bayes,PCA,0.6786,0.0109,8.416
BP,GO:0006887,naive_bayes,PCA,0.781,0.0075,8.367
BP,GO:0006897,naive_bayes,PCA,0.7374,0.019,8.598
BP,GO:0006898,naive_bayes,PCA,0.9457,0.0437,8.412
BP,GO:0006911,naive_bayes,PCA,0.7054,0.0121,8.332
BP,GO:0006914,naive_bayes,PCA,0.7665,0.0157,7.877
BP,GO:0006915,naive_bayes,PCA,0.6436,0.0051,9.306
BP,GO:0006928,naive_bayes,PCA,0.7728,0.0414,8.572
BP,GO:0006935,naive_bayes,PCA,0.8114,0.0185,8.449
BP,GO:0006936,naive_bayes,PCA,0.8079,0.0188,8.998
BP,GO:0006937,naive_bayes,PCA,0.7662,0.0173,8.501
BP,GO:0006950,naive_bayes,PCA,0.6975,0.0519,8.561
BP,GO:0006952,naive_bayes,PCA,0.6997,0.021,8.815
BP,GO:0006955,naive_bayes,PCA,0.7453,0.0113,8.643
BP,GO:0006970,naive_bayes,PCA,0.7078,0.0125,8.584
BP,GO:0006972,naive_bayes,PCA,0.5835,0.004,8.798
BP,GO:0006974,naive_bayes,PCA,0.8854,0.0318,8.778
BP,GO:0006979,naive_bayes,PCA,0.7089,0.0188,8.475
BP,GO:0006986,naive_bayes,PCA,0.6881,0.0205,8.796
BP,GO:0006996,naive_bayes,PCA,0.8051,0.0939,8.841
BP,GO:0006997,naive_bayes,PCA,0.8366,0.0458,8.357
BP,GO:0006998,naive_bayes,PCA,0.7468,0.0476,8.679
