class, time
GO:0005929,127.12
GO:0030424,129.01
GO:0043226,144.487
GO:0098687,138.858
GO:0005829,145.748
GO:0098562,136.93
GO:0098802,149.004
GO:0044422,145.689
GO:0043234,198.625
GO:0000932,142.499
