class, time
GO:0005929,2642.37
GO:0030424,3388.789
GO:0043226,2858.49
GO:0098687,2464.513
GO:0005829,1819.779
GO:0098562,2246.609
GO:0098802,2656.056
GO:0044422,2223.804
GO:0043234,2922.733
GO:0000932,2489.18
