	AUPRC	AUROC
0	0.20058220000000002	0.49001419999999996
1	0.16307439999999998	0.9071258
2	0.21439360000000002	0.9233706
3	0.16096939999999998	0.801308
4	0.1195702	0.8327118
5	0.1195702	0.8327118
6	0.3182256	0.9217974
7	0.2315616	0.9339921999999998
8	0.0488406	0.8413288000000001
9	0.1568808	0.7956592
10	0.1729324	0.78777
11	0.2064012	0.641456
12	0.3612126	0.7372118000000001
13	0.21486799999999998	0.781929
14	0.18795079999999997	0.7265541999999999
15	0.1404904	0.7945861999999999
16	0.14167860000000002	0.8889544
17	0.2537584	0.8439496
18	0.2742308	0.8679935999999999
19	0.4110108	0.8675722
20	0.2488458	0.7780558000000001
21	0.1865686	0.8808764000000001
22	0.19924160000000002	0.7018272
23	0.41809040000000003	0.7195098000000001
24	0.0918538	0.5033252
25	0.3036054	0.858402
26	0.2902356	0.8605548000000001
27	0.161571	0.9117856
28	0.5055714	0.8479038000000001
29	0.2313752	0.7790238
30	0.319292	0.8448108
31	0.3628818	0.8538171999999998
32	0.30635619999999997	0.7199361999999999
33	0.281359	0.7643328
34	0.0127818	0.7884854
35	0.0912142	0.8076758
36	0.1706324	0.6550602
37	0.24460820000000003	0.7440168
38	0.2330742	0.7490058
39	0.1875606	0.8189484
40	0.4383978	0.9318194
41	0.25586	0.7594124
42	0.0897462	0.5560708000000001
43	0.0847138	0.751238
44	0.17482520000000001	0.718568
45	0.2402014	0.7879148
46	0.49865779999999993	0.9480350000000001
47	0.41180740000000005	0.9648242
48	0.2384844	0.792551
49	0.27453679999999997	0.8529866
50	0.3449322	0.9487931999999999
51	0.34952	0.9972681999999999
52	0.3246656	0.7377081999999999
53	0.30558459999999993	0.72664
54	0.0938942	0.7267935999999999
55	0.1025442	0.5857171999999999
56	0.27143140000000004	0.8433138000000001
57	0.0796938	0.8215167999999999
58	0.024750599999999998	0.653203
59	0.13187939999999998	0.7593314
60	0.1445158	0.8524214
61	0.1252834	0.656209
62	0.239235	0.6091949999999999
63	0.1871612	0.8257610000000001
64	0.5364364	0.915417
65	0.3382618	0.9985709999999999
66	0.0707232	0.6067712
67	0.1168238	0.7386446
68	0.2163124	0.9265351999999999
69	0.1202482	0.6789248
70	0.1407	0.7559252
71	0.34928899999999996	0.848558
72	0.1733894	0.8230624
73	0.18482820000000003	0.6341808000000001
74	0.24094200000000002	0.877086
75	0.1943052	0.7660504
76	0.12417460000000001	0.8071408
77	0.3606612	0.9475698
78	0.1797444	0.7933298000000001
79	0.08842739999999999	0.6949654000000001
